,path,slice_file_name,fsID,start,end,salience,fold,classID,class,Sample Rate
0,data/UrbanSound8K/audio/fold3/195451-5-0-21.wav,195451-5-0-21.wav,195451,12.749062,16.749062000000002,1,3,5,engine_idling,22050
1,data/UrbanSound8K/audio/fold3/112075-5-0-2.wav,112075-5-0-2.wav,112075,9.037355,13.037355,2,3,5,engine_idling,22050
2,data/UrbanSound8K/audio/fold3/98681-9-0-12.wav,98681-9-0-12.wav,98681,6.0,10.0,2,3,9,street_music,22050
3,data/UrbanSound8K/audio/fold3/165039-7-11-0.wav,165039-7-11-0.wav,165039,142.280541,146.280541,1,3,7,jackhammer,22050
4,data/UrbanSound8K/audio/fold3/103199-4-0-3.wav,103199-4-0-3.wav,103199,1.5,5.5,1,3,4,drilling,22050
5,data/UrbanSound8K/audio/fold3/176631-1-0-0.wav,176631-1-0-0.wav,176631,28.32413,30.302215000000004,2,3,1,car_horn,22050
6,data/UrbanSound8K/audio/fold3/74810-9-1-5.wav,74810-9-1-5.wav,74810,179.481953,183.481953,2,3,9,street_music,22050
7,data/UrbanSound8K/audio/fold3/22601-8-0-26.wav,22601-8-0-26.wav,22601,13.0,17.0,2,3,8,siren,22050
8,data/UrbanSound8K/audio/fold3/13230-0-0-7.wav,13230-0-0-7.wav,13230,3.5,7.5,1,3,0,air_conditioner,22050
9,data/UrbanSound8K/audio/fold3/63095-4-0-26.wav,63095-4-0-26.wav,63095,22.99398,26.99398,1,3,4,drilling,22050
10,data/UrbanSound8K/audio/fold3/151149-2-0-54.wav,151149-2-0-54.wav,151149,27.0,31.0,2,3,2,children_playing,22050
11,data/UrbanSound8K/audio/fold3/54067-2-0-60.wav,54067-2-0-60.wav,54067,30.0,34.0,1,3,2,children_playing,22050
12,data/UrbanSound8K/audio/fold3/103199-4-2-3.wav,103199-4-2-3.wav,103199,19.117205,23.117205,1,3,4,drilling,22050
13,data/UrbanSound8K/audio/fold3/41372-3-0-51.wav,41372-3-0-51.wav,41372,42.892794,46.892794,2,3,3,dog_bark,22050
14,data/UrbanSound8K/audio/fold3/62837-7-0-30.wav,62837-7-0-30.wav,62837,15.0,19.0,1,3,7,jackhammer,22050
15,data/UrbanSound8K/audio/fold3/94636-8-0-19.wav,94636-8-0-19.wav,94636,9.5,13.5,2,3,8,siren,22050
16,data/UrbanSound8K/audio/fold3/135526-6-7-0.wav,135526-6-7-0.wav,135526,16.858129,18.913998,1,3,6,gun_shot,22050
17,data/UrbanSound8K/audio/fold3/82811-3-4-0.wav,82811-3-4-0.wav,82811,44.333896,48.333896,1,3,3,dog_bark,22050
18,data/UrbanSound8K/audio/fold3/22601-8-0-20.wav,22601-8-0-20.wav,22601,10.0,14.0,2,3,8,siren,22050
19,data/UrbanSound8K/audio/fold3/94636-8-0-2.wav,94636-8-0-2.wav,94636,1.0,5.0,2,3,8,siren,22050
20,data/UrbanSound8K/audio/fold3/29721-4-0-7.wav,29721-4-0-7.wav,29721,3.5,7.5,1,3,4,drilling,22050
21,data/UrbanSound8K/audio/fold3/42117-8-0-12.wav,42117-8-0-12.wav,42117,94.660252,98.660252,2,3,8,siren,22050
22,data/UrbanSound8K/audio/fold3/20841-3-4-0.wav,20841-3-4-0.wav,20841,15.560942,16.719735,2,3,3,dog_bark,22050
